City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,inhambane,-23.865,35.3833,24.99,88,40,3.09,MZ,1707679934
153,aykhal,66.0,111.5,-35.24,100,100,4.01,RU,1707680116
154,ancud,-41.8697,-73.8203,15.88,78,82,4.55,CL,1707680116
155,tukrah,32.5341,20.5791,18.3,56,82,6.59,LY,1707680116
156,hithadhoo,-0.6,73.0833,26.82,80,20,3.67,MV,1707680117
157,porto novo,6.4965,2.6036,28.9,80,83,3.62,BJ,1707680117
158,guerrero negro,27.9769,-114.0611,17.44,44,0,5.65,MX,1707680117
159,usinsk,65.9939,57.5281,-31.63,100,97,1.34,RU,1707679980
160,blythe,33.6103,-114.5964,15.25,25,0,5.14,US,1707679880
161,arkhangel'sk,64.5401,40.5433,-22.72,76,20,1.0,RU,1707680117
162,carnarvon,-24.8667,113.6333,25.51,72,0,7.81,AU,1707680117
163,petropavlovsk-kamchatsky,53.0452,158.6483,-17.53,81,0,6.0,RU,1707680117
164,verkhotur'ye,58.8627,60.8054,-22.06,96,36,1.88,RU,1707680118
165,nizhneangarsk,55.7833,109.55,-11.11,85,21,3.58,RU,1707679855
166,nova vicosa,-17.8919,-39.3719,27.66,73,21,4.17,BR,1707679878
167,jayapura,-2.5333,140.7,23.66,89,100,1.52,ID,1707680118
168,flin flon,54.7682,-101.865,-8.09,79,100,1.54,CA,1707680118
169,kasane,-17.8167,25.15,24.25,64,99,0.85,BW,1707680118
170,susuman,62.7833,148.1667,-32.61,100,100,0.33,RU,1707680030
171,hirara,24.8,125.2833,15.92,62,75,4.12,JP,1707680118
172,ouadda,8.0777,22.4007,25.73,25,26,2.48,CF,1707680119
173,port saint john's,-31.6229,29.5448,21.02,78,98,2.91,ZA,1707679867
174,mount pearl,47.5166,-52.7813,3.58,84,75,3.6,CA,1707680119
175,junqueiropolis,-21.5147,-51.4336,37.17,24,6,4.47,BR,1707680119
176,kingston,17.997,-76.7936,29.58,63,20,8.75,JM,1707679968
177,port alfred,-33.5906,26.891,21.21,80,0,3.58,ZA,1707680119
178,valdivia,-39.8142,-73.2459,20.05,50,15,2.6,CL,1707679880
179,tralee,52.2704,-9.7026,4.77,83,84,4.32,IE,1707680120
180,emerald,-23.5333,148.1667,22.41,82,34,3.3,AU,1707679895
181,naze,28.3667,129.4833,12.51,63,5,4.96,JP,1707680120
182,kenora,49.8167,-94.4337,-7.46,79,100,4.12,CA,1707680120
183,katsuura,35.1333,140.3,3.91,93,100,3.74,JP,1707680038
184,haiku-pauwela,20.9219,-156.3051,23.91,76,20,2.24,US,1707679911
185,quibdo,5.6947,-76.6611,30.19,79,75,1.54,CO,1707680120
186,hassi messaoud,31.6804,6.0729,17.92,34,6,2.57,DZ,1707680120
187,qamdo,31.1667,97.2333,-9.34,46,5,1.84,CN,1707680121
188,laguna,38.421,-121.4238,16.12,63,0,2.06,US,1707680121
189,pokhara,28.2333,83.9833,11.61,23,0,3.02,NP,1707680121
190,iskateley,67.6803,53.1512,-30.55,100,38,1.79,RU,1707680113
191,takoradi,4.8845,-1.7554,27.81,85,77,4.33,GH,1707680121
192,timaru,-44.4,171.25,11.15,89,100,0.9,NZ,1707680121
193,wuhai,39.6647,106.8122,-0.18,33,0,1.84,CN,1707680121
194,aromashevo,56.8602,68.6375,-21.33,97,80,3.52,RU,1707680122
195,canete,-37.8,-73.4,19.05,60,100,4.27,CL,1707680122
